,Article
63,"Diziyi seyretmeye başlamadan bir süre önce, bir gece arabanın bagajında unuttuğum bir eşya olduğunu fark ettim. Bir sebeple sabahı beklemeden almam gerekiyordu. Arabanın anahtarlarını aldım. Önce anahtarı olmayan kimsenin açamayacağı apartmanımızın kapısından geçtim, sonra yine anahtarı olmayan kimsenin açamayacağı bahçemizin kapısından geçtim ve sonra yine anahtarı olmayan kimsenin açamayacağı otopark kapımızdan geçtim. Geceleri sokakta olmayı çok severdim aslında, hava çok güzeldi, yürüyüş bile yapabilirdim. Ama her kapıdan hızlı hızlı geçtim, aklımda biri yanıma yaklaşırsa kendimi nasıl koruyabileceğime dair senaryolar vardı. Bir yandan da kendime kızıyordum, abarttığımı düşünüyordum. Kendimi tam sakinleştirdim, alacaklarımı alıp eve çıkıyordum ki bir grup erkeğin sesini duydum. Adımlarımı hızlandırdım, eve kendimi attığımda kendi halinde, muhtemelen benim bahçedeki varlığımdan haberdar olmayan bir grup insandan korktuğum düşüncesi canımı sıktı. O sırada kocam da korktuğumu fark etti ve tabii ki bu korkunun sebebini anlamadı. Güldüm, o anlayamazdı. Muhtemelen hayatı boyunca anlayamayacaktı. "
64,"Diziyi seyrederken sıklıkla bu ana döndüm. Defalarca sokakta korkmuşluğum, korkutulmuşluğum oldu benim de tüm kadınlar gibi. Fakat o geceki korkum için ortada somut bir sebep görünmüyor gibiydi. İşte canımı sıkan da buydu. Bu gereksiz korkunun aslında buz gibi yakan bir gerçek olması. Sokaklarda güvende değiliz. Güvende hissettirmesi gereken kapılar ardında bile güvende değiliz. Evlerde güvende değiliz. Kadınları koruması beklenen yasalar işletilmiyor, uygun cezalar verilmiyor. Nasıl güvende hissedebiliriz…"
65,"The Power, bu güvensizlik hissi için dünyanın farklı yerlerindeki kadınların nasıl hissettiğini güzel vurgulamış, hepimizin içten içe bildiği durumların yansımalarını görmek hem iyi bir hatırlatıcı hem de sarsıcı. “Bu güce sahip olduğumdan beri sokakta yürürken korkmuyorum, gece yürürken anahtarımın ucunu parmaklarımın ucunda tutmuyorum,” diyor karakterlerden biri. Dünyanın farklı yerlerinde bu korkunun ne kadar ağır bir korku olduğunu bilen kadınlar var. Dizi tabii ki kadınların böyle bir güce sahip olduklarında olanları işlerken bu güce neden ihtiyaç duyduklarını da işliyor. Kadınların bir güce sahip olması erkekleri çok korkutuyor. Ortadoğu’daki kadınların yaşadıkları, kadın tacirlerinin elinde tutsak edilen kadınlar, koruyucu anne baba yanında şiddet gören kadınlar, güçlü görünen ama gücüne rağmen bastırılan, susturulmaya çalışan kadınlar… "
66,"Maalesef artık yetişkin bir kadın olmam çocukken istediğim gibi bir güce ihtiyacımın olması gerçeğini değiştirmemiş. Dünyanın gerçeklerini, kadınların yaşadıklarını, her gün öldürülen kadınları düşündükçe keşke böyle bir gücümüz olsaydı dedim, kurgular gerçek ve tüm kadınları koruyabilecek gücümüz olsaydı keşke."
67,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
68,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
69,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
70,Yazar: Arzu Beste
71,"2023 seçimleri olarak da bilinen lunapark hızlı treninden indim. Başım ve dünya aynı hızda dönmeye devam ederken belki de biraz düşmemek için bana iyi gelen şeye yazmaya tutunuyorum. Belki sizin de tutunmak için bir şeye ihtiyacınız vardır ya da belki de hep birlikte yuvarlanarak hayatımıza devam ederiz, kim bilir? Aslında ben de birçoğumuz gibi buraya çok büyük umutlarla, heyecanlı bir bekleyişle ve çocuksu bir mutlulukla gelmiştim. Kapıda sıralar vardı, umutlu insanlar vardı, bazılarımızın yüzünde endişe ve korkunun izleri olsa da hızlı trenden ve kendimizden beklentilerimiz vardı. Aramızda ilk kez bu trene binecekler vardı ve ben onların da heyecanını paylaşıyordum. "
72,"Bekleyişin sonunda her şey gerçek gibi hissettirmeye başladı. Gökyüzüne yaklaşıp uzaklaştıkça manzaramız değişiyordu, şimdi bizden çok uzaklarda başka insanların hayatlarına da şahit oluyorduk. Tanıdık olmadığımız evler, insanlar ve sokakları da görecek kadar yerden yüksekteyken elimde olmadan başka hayatlarda yaşamanın tahayyülünü kuruyordum. Hızlı trende birçok kez kustum, çoğunlukla öfkemi, zaman zaman da hayal kırıklığımı. Yolculuk sonunda kalbimi yokladığımda kendini en çok belli eden duygu üzüntüydü."
73,"İnkar, öfke, pazarlık, depresyon ve kabullenme. Yasın evrelerinin önünden geçerken ışıklı yazılarını okuyordum. İnkar, atlı karınca gibi usul usul döndürüyordu başımızı. Öfke ise daha çok zihnimizin içinde oto-kontrolümüzü sağlamamızın güç olduğu ve bitevi birbirimize çarptığımız bir pistti. Pazarlık gondolu bir sağa bir sola salınırken üzerime depresyonun ağırlığı çökmüştü bile. İçimdeki o karanlık sürekli aynı soruyu soruyordu şimdi de. Mücadelemize ne olacak?"
74,"Mücadele. Mücadele. Mücadele. Medine döneminde inen 22 ayet. Tartışan kadın. Allah’ın şikayette bulunan kadının sözünü işitmesi. “Şüphesiz Allah hakkıyla işitendir, hakkıyla bilendir.” Sayıklamalarım dinip nefes aldığımda kalp atışlarım yavaşlamıştı. Ay hâlâ eskiydi ve ışığını göremiyordum gökyüzümde. Mücadelemiz. Mücadelemiz. Mücadelemiz. Ama artık o karanlık sese bir cevabım var sanırım. Mücadelemizi kırpıp kırpıp yıldız yapacağız. İçimizde sönmeye yüz tutan umudumuz, çocuksu neşemiz ve yolculuğa olan inancımız parlayacak gökyüzümüzde. Yeni ay, ilk dördün, dolunay, son dördün. Karanlık ve ışık olduğu sürece mücadelemiz yıldız olmaya devam edecek. Ve biz mücadelemizi ileriye dönüştüreceğiz. İleriye. Birlikte. Hep birlikte."
75,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
76,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
77,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
78,Yazar: Seda AkçayGörsel: Bu görsel DALL·E 2 yardımıyla oluşturulmuştur.
79,"Bugün iftara misafirlerimiz vardı. Bilen bilir; ev sahibinin birinci vazifesi gelen misafirlere hizmet etmek, yedirmek, içirmek ve en nihayetinde güzel güzel ağırlayıp uğurlamaktır. Hoş geldin, beş gittin faslından sonra herkesi yerli yerine, yani adamları masaya oturttuk. Bundan sonrasında beklediğimiz ezanın okunması ve orucun açılmasıdır. İki kere iki dört. Adamların yemini suyunu verip bir köşede orucumuzu açmayı hayal ettiğimiz sırada bir yerlerden bir sürü uğuldama yükseldi: "
80,Misafir 1: O çorbayı kime koydun?Misafir 2: Bizimki iftarda az yemek yiyor. Çorbayı çok koyma ona. “Karnım şişiyor sonra bir şey yiyemiyorum.” diyor.Misafir 1: Bizimki de çorba içmez. Sen onun tabağını kaldır.Misafir 3: İlk sigara içecek soğumasın çorbası.Misafir 2: Ooo bu çok olmuş. Birazını boşaltın bu pilavın yemez sonra.Misafir 1: Onun önüne niye ekmek koydunuz?Misafir 2: Sürahinin birini yakın koyun bir bardak daha alır.Misafir 3: Çay demlediniz mi? Biliyorsunuz ilk çay içiyor…Çayı demlediyseniz biriniz getirin de beklemesin şimdi.Misafir 1: Pilavın birazını boşalttın mı bakayım ben.Misafir 3: Şekersiz içiyor kaldırabilirsiniz şekeri.Misafir 1: Çok çorba koymuşsun yine…Valla çok yedi şimdi sahura kadar dolanacak evde.Misafir 3: Çay var mıydı çay? 
81, ***
82,"Anne: Yok estağfurullah ne zahmeti, aşkolsun. Adamlarınız nasıl yiyorsa söyleyin kızlar hemen hazırlasın. "
83,***
84,"Kız 1: Yok yok adamları bekletmeyelim, tabaklarını verelim bir an önce. Siz oturun, adamlarınız nasıl yemek yiyorsa listesini verin bana. İçeriye siparişleri yollayalım. Maksimum iki dakika içinde servise çıkar. "
85,***
86,"Anne:  İlahi sende! şaka yapıyorum tabi. Ay yok olur mu öyle şey, ne yaptık sanki? Yapıyor kızlar işte. İftar sofralarının tadı böyle çıkıyor. Kalabalıkla. Allah aşkına siz bir orucunuzu açın."
87,***
88,"Kız 1: Adamlara yemek verelim biz öyle otururuz. Bir şey olmaz ne olacak? Biz hazırlıyoruz işte. Siz yemeye devam edin. Su içtik mutfakta biz. Annem listeyi verdi bize.Kız 2: Lafı mı olur biz yapıyoruz. Geliyoruz şu çayı verelim. Adamlar bir doysun da. Onlar doymadan hiçbirimizin karnı doymuyor inanın. Sizinki bir tabak daha pilav istedi normal mi bu? Veriyorum o zaman. Yok yok ne zahmeti. Sizden ikinci bir emir gelmeden hareket etmek istemedik. Tamam tamam. Ben konuşmaya henüz çıkmadı sandım sizinki o yüzden.Kız 1: Evet, az önce duydum bir şeyler söylüyordu. Tam anlamadım ne dediğini ama yetişkin birisi konuşuyor gibiydi. Adamların keyfi yerinde. Diğerleri de çay istedi. Evet siyaset konuşuyorlar. Tatlıları verelim hemen. Şerbetli tatlı yaptık adamlar yer mi? Maalesef sütlü tatlı yapmadık. Ama siz yemez diyorsanız gidip alalım bir yerlerden. "
89,***
90,"Kız 2: Haklısınız şerbetli ağır olur şimdi adamlar otururken zorlanırlar. Fazladan sağa sola dönmek gerekir hiç lüzumu yokken. Düşünemedik. Ne olacak iki dakikada gider alırız bir şeyler.Kız 1: He gidelim mi? Çay suyu koyalım tekrar adamların pili bitti. Ay pardon çayı bitti. Kusura bakmayın gülesim geldi. Meyve götüreceğiz birazdan adamlara. Hayır babaanne çay içmek istemiyorlar artık, bir dur. Sen nereden çıktın şimdi allasın? Çay isteseler biz koyarız babaanne. Kaç kız var şurada. İsteseler duyarız zaten. Kalkıyormuşsunuz."
91,***
92,Anne: Ne güzel oldu görüşmüş olduk. Ramazan da olmasa kimsenin kimseyi göreceği yok. Evet evet. İnşallah geliriz. Estağfurullah ne zahmeti siz kusura bakmayın asıl iyi hizmet edemedik. Kızlar yaptılar bir şeyler işte.  
93,***
94,Anne: Olur olur. Hadi görüşürüz o zaman. Olur görüşürüz. Allaha Emanet olun. Yine gelin bak. İlla Ramazanı beklemeyin. Hadi. Tamam görüşürüz. Gördünüz mü bak ne güzel oldu işte. Herkes birbirini görmüş oldu. Yedik içtik sohbet ettik. Hadi hadi görüşürüz.
95,***
96,Kız 1: Çayı da demli verdik adama açık mı içiyordu acaba? Keşke sorsaydık. Eşi de bir şey demedi ki. O zaman çay konusunda bir kriteri yok adamın. Eve gittiğinde kadına patlamasa şimdi. İlahi kadın o kadar liste verdin kocanın çayı nasıl içtiğini söylemeyi mi unuttun? Neyse seneye söyle onu mutlaka bak. Sonra sıkıntı çıkmasın aman. Son sünneti mi kılıyordum vitri mi acaba? Orucumu açmış mıydım ben? En iyisi ben bir daha son sünneti kılayım sonra deliririm ay mutfağı toplarım… Ne zahmeti olur mu öyle şey…
97,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
98,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
99,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
100,Yazar: Ayşe ÇandırGörsel: Sabiha Çimen/ Magnum Photos
101,"İlk seyahat dergisi olma özelliğini taşıyan Holiday Magazine, İngilizce olarak yazılan ve yılda iki kez yayınlanan uluslararası bir yayın. Derginin 2023 yılı İlkbahar/Yaz sayısında ise İstanbul yer alıyor… Bana bu yazıyı yazdıran olaylar silsilesine buradan başlıyoruz."
102,"Hikâyenin Başı: Holiday MagazineHoliday’in İstanbul sayısının tanıtım yazısında ilk olarak, Türkiye ve Suriye’yi vuran 6 Şubat depremlerinden sonra duyulan derin üzüntü dile getiriliyor. Dergi, Ekim 2022’den beri üzerinde çalıştıkları İstanbul özel sayısından meydana gelen felaket sonrası bir süreliğine vazgeçmiş, ancak bir saygı duruşunda bulunmak istedikleri için yayınlama kararı almışlar.Derginin bu özel sayısında pek çok yazar, tasarımcı, sanatçı ve gazeteci kendi meşreplerince yüzyıllardır birbirinden farklı kültürleri, dinleri ve estetiği birbirine bağlayan İstanbul’u anlatmışlar. Tanıtım yazısında benim ilk dikkatimi çeken isim, aynı zamanda sayıda yer alan diğer sanatçılar arasında adını ve çalışmalarını daha önceden duyduğum tek isim fotoğraf sanatçısı Sabiha Çimen… Nisan 2022’de yazar Kaya Genç, Aperture Dergisi’nde, Çimen’in Hafız adlı fotokitabı üzerine bir yazı kaleme almıştı.[i] Aperture Dergisi üniversite yıllarında okul kütüphanesinde keşfettiğim, yeni sayı geldikçe de takip ettiğim New York temelli bir fotoğraf topluluğu dergisi… Gel zaman git zaman derginin sosyal medya hesaplarını da ilgiyle takip etmeye başladım. Böylelikle, Sabiha Çimen’in geldiği sosyokültürel arka plana ve çalışmalarına dair kısıtlı da olsa bilgi edinme imkânım olmuştu.Yavaş yavaş beni bu yazıyı yazmaya teşvik eden nedenlerin çekirdeğine iniyoruz, ancak kısaca Sabiha’nın (artık tanış olmuş sayılırız nasılsa Sabiha demek de bir beis görmüyorum😊) yaşam öyküsüne ve ödüllü fotokitabı Hafız’a kısaca değinmek iyi bir başlangıç noktası olacaktır.  Zira beni bilen bilir bilmeyen de bir dal mercimek sanır: Dağınık zihnim video oyunu Bounce gibi oradan oraya sıçraya sıçraya çalıştığı için şu an konudan konuya zıplamamak için kendimi zor tutuyorum"
103,"Hikâyenin Ortası: HafızSabiha, İstanbul’da doğup büyümüş. İstanbul Bilgi Üniversitesi’nde Uluslararası Ticaret ve Finansman bölümünden mezun olduktan sonra, Kültürel Çalışmalar programında yüksek lisansını tamamlamış, Magnum Photos üyesi bir fotoğraf sanatçısı. Magnum Photos, uluslararası saygınlığa sahip; New York, Tokyo, Paris ve Londra’da ofisleri bulunan bir fotoğraf ajansı. Sabiha’nın, 2022 yılında Red Hook Editions (Newyork temelli bir yayın topluluğu) tarafından yayınlanan ilk fotoğraf kitabı Hafız, Paris Photo–Aperture PhotoBook Ödüllerinde “İlk Fotoğraf Kitabı Ödülü”nün sahibi oldu.Hafız, fotoğraf sanatıyla Sabiha’nın yaşam öyküsünün kol kola yürüdüğü bir fotokitap olma özelliğini taşıyor. Sanki geri dönüp yürüdüğü yolları yeniden anlamlandırmış… Sabiha’nın kız Kuran kurslarında geçen yılları onu o kadar derinden etkilemiş olacak ki, yaklaşık çeyrek yüzyıl sonra, bu okullar onun ilk fotokitabına konu olmuş. Eh, pek tabii ben bu tüm bilgilere fotoğraf ile alakalı muhtelif mecralar[ii] ve Sabiha’nın kişisel internet sayfasında[iii] yer alan kısa biyografisini okuyarak ulaştım. Kimbilir, belki bir gün yüz yüze tanışıp, belki de imzalı kitabını bile edinirim (devir manifest devri lütfen…).Yine bu yazılardan okuduğum kadarıyla Hafız kitabının çıkış amacı, bir bakıma kız Kuran Kursu’na devam eden kadınlara, kendi adlarına konuşma alanı açmak… Nitekim, Sabiha, kız Kuran kursunu, ilk önceleri oraya devam eden öğrencileri kısıtlayan bir kurum olarak gördüğünü ifade ediyor.[iv] Fakat, daha sonra, bu kadar kadının bir arada olduğu canlı bir ortamı kendisi de bir özne olarak fotoğrafla anlama şiarıyla yola çıkıyor. Ben bu kanıya, Magnum Photos’un internet sitesinde yer alan yazıyı okuyarak varıyorum. Yazıda Sabiha ile yapılan bir söyleşiden alıntı paylaşılmış.[v] Sanatçı, Hafız ile yoğun Kuran eğitimine devam eden bu genç kızların bir yandan yaşadıklarını tasvir ederken bir yandan bireyselliklerini bulma yolculuklarını ve nasıl bir direniş mekanizmaları geliştirdiklerini anlamayı amaçladığını dile getiriyor.  Bu bağlamda, üç yıl boyunca Türkiye’nin beş farklı ilinde (Kars, Hatay, Malatya, Rize ve İstanbul) kız Kuran kursuna devam eden hafızlık öğrencilerini fotoğraflamış."
